YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2025-03,WEEKENDS/HOLIDAY,23,TRAIN,CC20,257,771
2025-03,WEEKDAY,9,TRAIN,SW2,5569,3132
2025-03,WEEKENDS/HOLIDAY,12,TRAIN,NE17/PTC,32358,27114
2025-03,WEEKDAY,14,TRAIN,EW6,8401,9967
2025-03,WEEKDAY,17,TRAIN,DT21,17197,8710
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,NS4/BP1,22178,21963
2025-03,WEEKENDS/HOLIDAY,18,TRAIN,NE10,9880,10471
2025-03,WEEKDAY,20,TRAIN,NE1/CC29,79352,23406
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,NS2,15983,10290
2025-03,WEEKDAY,21,TRAIN,DT21,11166,5438
2025-03,WEEKDAY,19,TRAIN,DT4,1273,5035
2025-03,WEEKENDS/HOLIDAY,22,TRAIN,PW1,559,94
2025-03,WEEKDAY,13,TRAIN,DT22,7992,7322
2025-03,WEEKDAY,22,TRAIN,NS7,14892,35385
2025-03,WEEKDAY,22,TRAIN,NS11,12621,48601
2025-03,WEEKDAY,13,TRAIN,NS10,29063,24031
2025-03,WEEKDAY,20,TRAIN,EW14/NS26,83746,12461
2025-03,WEEKENDS/HOLIDAY,13,TRAIN,NS13,30525,29394
2025-03,WEEKENDS/HOLIDAY,5,TRAIN,NS18,774,134
2025-03,WEEKENDS/HOLIDAY,15,TRAIN,NE11,9026,8910
2025-03,WEEKDAY,10,TRAIN,EW2/DT32,43976,32921
2025-03,WEEKDAY,9,TRAIN,EW19,32990,11796
2025-03,WEEKENDS/HOLIDAY,20,TRAIN,PE7,925,3000
2025-03,WEEKENDS/HOLIDAY,22,TRAIN,EW18,3667,6990
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,PE7,14,300
2025-03,WEEKDAY,15,TRAIN,CC8,10826,7014
2025-03,WEEKENDS/HOLIDAY,16,TRAIN,CC23,3006,1791
2025-03,WEEKENDS/HOLIDAY,7,TRAIN,SW8,869,615
2025-03,WEEKENDS/HOLIDAY,10,TRAIN,EW2/DT32,29019,23045
2025-03,WEEKDAY,0,TRAIN,DT31,25,921
2025-03,WEEKENDS/HOLIDAY,0,TRAIN,CC5,34,58
2025-03,WEEKENDS/HOLIDAY,21,TRAIN,SE1,658,3074
2025-03,WEEKDAY,6,TRAIN,NS5,66136,16820
